claim_id,claim_text,paper_citekey,citation_location,evidence_type,direction,confidence,used_in_draft,draft_section,notes
C001,LLM-assisted literature review reduces time to synthesize 100 papers by approximately 60% compared to manual review,wang2024llmreview,Table 2 p.8,experiment,supports,high,yes,related-work,RCT with 24 graduate students; manual vs GPT-4-assisted condition; statistically significant (p<0.01)
C002,Automated citation extraction from PDFs using LLMs achieves >90% F1 on structured scientific documents,lee2023citextract,Table 4 p.12,experiment,supports,high,yes,related-work,Evaluated on PubMed and arXiv corpora; human annotator agreement reported (kappa=0.87)
C003,LLM-generated summaries of scientific abstracts contain factual errors at a rate of 12–18% when evaluated by domain experts,chen2024hallucination,Sec 4.2 p.6,experiment,contradicts,high,yes,discussion,Expert panel of 15 reviewers; hallucination rate rises to 28% for methods sections; key limitation of C001
C004,Retrieval-augmented generation (RAG) reduces hallucination rate in scientific summarization by approximately 40% relative to standard prompting,zhao2024rag,Table 3 p.10,experiment,supports,medium,yes,related-work,Tested on 3 benchmarks; improvement varies by domain (22–55%); no statistical significance tests reported
C005,Human researchers rate LLM-assisted literature syntheses as equally credible to human-written syntheses in double-blind evaluation,patel2023credibility,Sec 5 p.14,experiment,supports,medium,pending,discussion,n=40 evaluators; only abstracts evaluated not full sections; potential demand characteristics
C006,GPT-4 correctly identifies the methodology of a paper (qualitative vs quantitative) with 94% accuracy on a held-out test set,kim2024classify,Table 1 p.5,experiment,supports,high,no,none,Binary classification task; may not generalize to mixed-methods papers
C007,LLM assistance in literature review does not significantly reduce missed relevant papers compared to manual keyword search,huang2024recall,Sec 3.3 p.9,experiment,contradicts,medium,yes,discussion,Directly challenges C001; recall metric differs from C001 time-efficiency metric; both claims can coexist
C008,Chain-of-thought prompting improves LLM accuracy on evidence quality assessment tasks from 61% to 79%,sun2024cot,Table 2 p.7,experiment,supports,medium,pending,method,Improvement measured on custom rubric; rubric not independently validated; potential annotation bias
C009,LLMs trained on scientific corpora perform no better than general LLMs on domain-specific claim verification tasks,nguyen2024domainadapt,Sec 4 p.11,experiment,partially-supports,low,no,none,Only two domain-adapted models tested; small evaluation set (n=200 claims); contradicts common assumption
C010,A structured evidence matrix protocol combined with LLM-assisted screening reduces duplicate claim registration by 73% versus unstructured note-taking,ross2024protocol,Sec 6 p.16,case-study,supports,medium,yes,method,Single-group study at one institution; no control condition; methodology relevant to this OS design
