citekey,title,year,venue,decision,score,reason,used_for,screened_by,screened_date
thomas2024llmscreen,"LLMScreen: Evaluating GPT-4 for Automated Title-Abstract Screening in Systematic Reviews",2024,JMIR Medical Informatics,include,9,"Score: Relevance=2 Evidence=2 Method=2 Citation=2 Recency=1. Rigorous comparison to two human screeners on 1240 Cochrane candidates; full prompt provided; recall 0.97 vs 0.94 human. Minor deduction on recency (GPT-4-0613 version tested).",evidence_matrix notes synthesis,researcher,2026-05-12
wang2023chatgpt,"ChatGPT as a Literature Screening Assistant: A Comparative Study",2023,Systematic Reviews,include,8,"Score: Relevance=2 Evidence=2 Method=2 Citation=1 Recency=1. Clear methodology; 823 papers screened; kappa=0.76 with human expert; limited to one domain (cardiology) reducing generalizability.",evidence_matrix notes,researcher,2026-05-12
li2024asreview,"Integrating Large Language Models into ASReview: Performance and Reproducibility",2024,Journal of Informetrics,include,9,"Score: Relevance=2 Evidence=2 Method=2 Citation=2 Recency=1. Open-source tool integration; reproducibility across 5 runs reported; 4 datasets; both recall and workload metrics reported.",evidence_matrix notes synthesis,researcher,2026-05-15
morrison2024cochrane,"Accuracy of LLM-Assisted Screening in Cochrane Systematic Reviews: A Validation Study",2024,Cochrane Database of Systematic Reviews,include,9,"Score: Relevance=2 Evidence=2 Method=2 Citation=2 Recency=1. Gold standard Cochrane inclusion lists as ground truth; 3 reviews; GPT-4 and Claude-3 compared; missed inclusions documented at paper level.",evidence_matrix notes synthesis,researcher,2026-05-15
nguyen2024sigir,"Benchmarking LLM Screeners on Heterogeneous Review Topics",2024,SIGIR 2024,include,8,"Score: Relevance=2 Evidence=2 Method=2 Citation=1 Recency=1. 10 review topics across 5 domains; good ecological validity; code and prompts released; limited to recall@95precision metric.",evidence_matrix notes synthesis,researcher,2026-05-22
hassan2024automated,"Automated Abstract Screening Using Pre-Trained Language Models: Promise and Pitfalls",2023,PLOS ONE,borderline,6,"Score: Relevance=2 Evidence=1 Method=1 Citation=1 Recency=1. Relevant topic but uses BERT (not GPT-scale LLM); dataset is small (n=180); methods section lacks prompt detail. Include only if BERT comparison adds value to gap analysis.",background_only pending_review,researcher,2026-05-12
patel2023gpt4review,"GPT-4 for Rapid Evidence Synthesis: Exploratory Analysis",2023,JMIR Research Protocols,borderline,5,"Score: Relevance=2 Evidence=1 Method=1 Citation=0 Recency=1. Pilot study but lacks human comparison (no gold standard); n=62 papers; no statistical significance reported. Upgrade to include if supplementary data shows human comparison.",pending_review,researcher,2026-05-15
chen2024benchmark,"A Benchmark for Evaluating AI Screening Tools in Evidence-Based Medicine",2024,Artificial Intelligence in Medicine,exclude,3,"Score: Relevance=1 Evidence=1 Method=1 Citation=0 Recency=0. Despite promising title evaluates diagnostic decision support tools (clinical AI) not literature screening tools. Off-topic per exclusion criterion E1.",excluded,researcher,2026-05-15
kim2024rapidreview,"Rapid Review Automation: Beyond Keyword Filters",2024,arXiv:2403.12847,exclude,2,"Score: Relevance=1 Evidence=1 Method=0 Citation=0 Recency=0. Uses TF-IDF and SVM; no language model component. Falls under exclusion criterion E2 (non-LLM automation only). Out of scope.",excluded,researcher,2026-05-22
robinson2023medscreen,"Human vs. Machine: Screening Performance in Medical Evidence Synthesis",2023,BMJ Evidence-Based Medicine,exclude,4,"Score: Relevance=2 Evidence=1 Method=1 Citation=0 Recency=0. Compares human experts to rule-based automated screening (Rayyan keyword rules) not LLMs. Predates LLM adoption. Excluded per E2; may be cited as background on pre-LLM baselines.",background_only,researcher,2026-05-15
